"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"Audi" "A6 Avant S line" "2.0 TFSI mutitronic (170 PS)" "4" "Automatic" 1984 "Petrol" 11.3 6.6 8.3 72 199 700 31
"Citroen" "C5" "1.6 e-HDi 112hp EGS Stop & Start" "5" "Automatic" 1560 "Diesel" 5.5 4.1 4.6 70.3 120 218 149
"Peugeot" "407 Saloon" "2.2 (163 bhp)" "4" "Manual" 2230 "Petrol" 12.9 6.8 9 73 214 546 55
"Volkswagen" "T5 Window Van" "T30 2.0 TDI 180PS" "5" "Manual" 1968 "Diesel" 9.5 6.4 7.5 74 197 149 218
"Lexus" "CT200h, MY2013" "CT200h Luxury" "5" "Automatic" 1798 "Hybrid" 4.1 4 4.1 67.7 94 187 3
"BMW" "5 Series F10/F11 From March 2010" "520d Saloon - 245/40 R19 tyres front & 275/35 R19 tyres rear" "5" "Automatic" 1995 "Diesel" 5.9 4.3 4.9 73 129 269 147
"BMW" "3 Series E46" "318 Ci Coupé" "3" "Automatic" 1995 "Petrol" 11.2 6.3 8.1 74 196 811 53
"Mercedes-Benz" "C-Class Estate, Model Year 2011" "C 250 CDI with 16\" rear wheels 225/50 Tyres" "5" "Manual" 2143 "Diesel" 6.7 4.5 5.3 72 140 175 157
"Vauxhall" "New Astra, MY2007" "1.8i 16v VVT 5 Door Estate with 15/16\" tyre" "4" "Automatic" 1796 "Petrol" 10.5 6.2 7.8 71 187 367 40
"BMW" "1 Series E87" "118d - up to February 2005" "4" "Manual" 1995 "Diesel" 7.7 4.5 5.6 72 150 319 166
"Vauxhall" "Vectra, MY2004" "2.2i 16v Direct LS 5 Door Estate From VIN: W0L0ZCF3541064070" "4" "Manual" 2198 "Petrol" 10.6 6.6 8.1 74 194 177 19
"Volkswagen" "Beetle" "1.2 TSI 105PS 7speed DSG Beetle" "5" "Automatic" 1197 "Petrol" 7.3 5 5.9 69 137 349 31
"Volvo" "New V70 Model Year 2001 - 02" "2.4T AWD" "3" "Manual" 2435 "Petrol" 14.3 8.2 10.4 69 249 1349 26
"Mercedes-Benz" "A-Class (C169) 3 Door" "A160 CDI with DPF 195 Tyres at rear" "4" "Manual" 1992 "Diesel" 6.3 4.4 5 70 129 245 195
"Hyundai" "Trajet" "2.0l CRTD" "3" "Automatic" 1991 "Diesel" 10.8 7 8.4 73 224 67 607
"Ford" "Focus, Post 2009ﾼ Model Year" "2.0 Duratorq TDCi (136PS) Estate (+DPF)" "4" "Manual" 1997 "Diesel" 7.2 4.6 5.6 72 147 56 208
"Volkswagen" "Eos" "2.0 CR TDI (140 PS) DSG with DPF" "5" "Automatic" 1968 "Diesel" 7.9 5 6.1 69 159 115.6 129.3
"Audi" "A6 Avant" "3.0 V6 CR TDI quattro 240ps Tiptronic" "5" "Automatic" 2967 "Diesel" 9.3 5.8 7.1 70 189 229.9 139.9
"Mercedes-Benz" "S-Class (V221) Limousine" "S500 L 235 Tyres at rear" "4" "Automatic" 5462 "Petrol" 17.5 8.6 11.8 73 281 376 31
"BMW" "5 Series F10/F11 From March 2010" "520d EfficientDynamics Saloon - 225/55 R17 tyres front & rear" "6" "Manual" 1995 "Diesel" 5.6 3.9 4.5 75 119 246 58
"Subaru" "Legacy (2008 Model Year)" "2.0 AWD Outback (w/o sunroof)" "4" "Manual" 1998 "Diesel" 7.1 5.1 5.8 70.5 153 262 241
"Seat" "Altea" "1.6 (102ps)" "4" "Manual" 1595 "Petrol" 9.9 5.8 7.3 74 173 391 43
"Toyota" "Avensis, MY2012" "TR Tourer 2.2 D-4D 150 6-speed Manual" "5" "Manual" 2231 "Diesel" 7.1 4.6 5.5 72 147 141 154
"Volvo" "XC90 Model Year 2010" "D5 Geartronic" "4" "Automatic" 2400 "Diesel" 11.1 7 8.5 71 224 100 380
"Seat" "Altea" "2.0 TDI DSG (140 PS)" "4" "Automatic" 1968 "Diesel" 7.5 5.1 6 68 162 191 172
"Honda" "Civic, Model Year 2013" "1.6 i-DTEC ES, ES-T, EX, SE, SE-T" "5" "Manual" 1597 "Diesel" 4 3.3 3.6 71 94 172 139
"Chrysler Jeep" "Chrysler PT Cruiser" "2.4 Cabriolet" "4" "Automatic" 2429 "Petrol" 14.2 8.1 10.4 73 246 518 8
"Mercedes-Benz" "B-Class (T245)" "B200 Turbo 215 Tyres at rear" "4" "Automatic" 2035 "Petrol" 10.7 6.8 8.2 71 197 651 7
"Porsche" "911" "Carrera Cabriolet Tiptronic S" "4" "Automatic" 3596 "Petrol" 17 8.1 11.4 74 275 462 30
